Journal name,ISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
MAGNETIC RESONANCE IN MEDICINE,1522-2594,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",38556,4.668,Q1,1.41,21.85%
Molecular Imaging,1536-0121,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1323,4.488,Q1,0.7,100.00%
SEMINARS IN NUCLEAR MEDICINE,1558-4623,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2729,4.446,Q1,0.92,5.73%
Journal of Cardiovascular Computed Tomography,1934-5925,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2352,4.309,Q1,1,4.62%
MEDICAL PHYSICS,2473-4209,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",30918,4.071,Q1,1.13,11.34%
JOURNAL OF DIGITAL IMAGING,1618-727X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3680,4.056,Q1,1.25,13.59%
NMR IN BIOMEDICINE,1099-1492,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8939,4.044,Q2,1.13,22.43%
Diagnostic and Interventional Imaging,2211-5684,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2437,4.026,Q2,0.83,2.13%
AMERICAN JOURNAL OF ROENTGENOLOGY,1546-3141,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",39721,3.959,Q2,1.01,0.25%
INTERNATIONAL JOURNAL OF HYPERTHERMIA,1464-5157,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",6199,3.914,Q2,1.04,74.25%
CANCER IMAGING,1470-7330,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2143,3.909,Q2,0.83,100.00%
Quantitative Imaging in Medicine and Surgery,2223-4306,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2318,3.837,Q2,0.89,83.66%
AMERICAN JOURNAL OF NEURORADIOLOGY,1936-959X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",27423,3.825,Q2,0.95,88.09%
Biomedical Optics Express,2156-7085,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",12803,3.732,Q2,1.2,100.00%
Ultrasonography,2288-5943,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",887,3.675,Q2,0.88,100.00%
Clinical Neuroradiology,1869-1447,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1298,3.649,Q2,0.92,15.49%
STRAHLENTHERAPIE UND ONKOLOGIE,1439-099X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3742,3.621,Q2,0.8,26.61%
PHYSICS IN MEDICINE AND BIOLOGY,1361-6560,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",31418,3.609,Q2,0.98,12.36%
Practical Radiation Oncology,1879-8500,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2610,3.539,Q2,0.82,6.03%
EUROPEAN JOURNAL OF RADIOLOGY,1872-7727,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",16452,3.528,Q2,0.93,4.92%
KOREAN JOURNAL OF RADIOLOGY,2005-8330,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4518,3.5,Q2,0.97,49.62%
MOLECULAR IMAGING AND BIOLOGY,1860-2002,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3489,3.488,Q2,0.99,21.10%
Radiation Oncology,1748-717X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",7613,3.481,Q2,0.79,100.00%
Radiologia Medica,1826-6983,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3248,3.469,Q2,0.86,3.83%
JOURNAL OF VASCULAR AND INTERVENTIONAL RADIOLOGY,1535-7732,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",11063,3.464,Q2,0.77,3.81%
JOURNAL OF NEURORADIOLOGY,1773-0406,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1475,3.447,Q2,0.74,2.63%
Tomography,2379-139X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",612,3.358,Q2,0.8,87.39%
EJNMMI Physics,2197-7364,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",743,3.309,Q2,0.92,100.00%
ACADEMIC RADIOLOGY,1878-4046,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",7316,3.173,Q2,0.85,3.95%
JOURNAL OF BIOMEDICAL OPTICS,1560-2281,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",16008,3.17,Q2,0.88,71.37%
Contrast Media & Molecular Imaging,1555-4317,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1831,3.161,Q2,0.61,100.00%
EJNMMI Research,2191-219X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2253,3.138,Q2,0.96,100.00%
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1557-8852,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2281,3.099,Q2,0.78,3.84%
BRITISH JOURNAL OF RADIOLOGY,1748-880X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",12892,3.039,Q2,0.7,6.64%
Abdominal Radiology,2366-0058,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4221,3.039,Q2,0.86,4.61%
JOURNAL OF THORACIC IMAGING,1536-0237,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2025,3,Q2,0.74,3.02%
ULTRASOUND IN MEDICINE AND BIOLOGY,1879-291X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",12787,2.998,Q2,0.9,10.44%
Radiology and Oncology,1581-3207,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1289,2.991,Q2,0.58,100.00%
International Journal of Computer Assisted Radiology and Surgery,1861-6429,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3780,2.924,Q2,0.9,20.26%
ULTRASONICS,1874-9968,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8026,2.89,Q2,1.12,1.95%
RADIATION RESEARCH,1938-5404,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",10056,2.841,Q3,0.81,0.00%
NEURORADIOLOGY,1432-1920,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",6702,2.804,Q3,0.68,15.07%
Clinical and Translational Imaging,2281-7565,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",697,2.75,Q3,0.54,20.72%
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,1432-086X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",7145,2.74,Q3,0.64,13.80%
JOURNAL OF RADIATION RESEARCH,1349-9157,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3515,2.724,Q3,0.6,100.00%
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,1362-3095,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",5935,2.694,Q3,0.91,8.41%
Physica Medica-European Journal of Medical Physics,1724-191X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4195,2.685,Q3,0.78,7.74%
ANNALS OF NUCLEAR MEDICINE,1864-6433,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2597,2.668,Q3,0.76,13.13%
Dose-Response,1559-3258,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1751,2.658,Q3,0.57,100.00%
Diagnostic and Interventional Radiology,1305-3612,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1926,2.63,Q3,0.65,0.00%
MAGNETIC RESONANCE IMAGING,1873-5894,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8690,2.546,Q3,0.75,5.11%
PEDIATRIC RADIOLOGY,1432-1998,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",7867,2.505,Q3,0.83,10.51%
JOURNAL OF NEUROIMAGING,1552-6569,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2870,2.486,Q3,0.66,11.64%
Magnetic Resonance in Medical Sciences,1880-2206,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",966,2.471,Q3,0.63,61.84%
ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN VERFAHREN,1438-9010,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1754,2.452,Q3,0.49,1.59%
DENTOMAXILLOFACIAL RADIOLOGY,1476-542X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3814,2.419,Q3,0.83,2.09%
NUCLEAR MEDICINE AND BIOLOGY,1872-9614,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4025,2.408,Q3,0.8,11.11%
Japanese Journal of Radiology,1867-108X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1688,2.374,Q3,0.55,3.93%
Brachytherapy,1873-1449,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2421,2.362,Q3,0.57,3.66%
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,1573-0743,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4056,2.357,Q3,0.62,16.92%
CLINICAL RADIOLOGY,1365-229X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8240,2.35,Q3,0.65,2.83%
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1827-1936,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1048,2.346,Q3,0.47,0.00%
MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,1352-8661,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1817,2.31,Q3,0.65,34.89%
RADIOLOGIC CLINICS OF NORTH AMERICA,1557-8275,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2681,2.303,Q3,0.71,0.00%
Magnetic Resonance Imaging Clinics of North America,1557-9786,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1142,2.266,Q3,0.62,0.71%
NEUROIMAGING CLINICS OF NORTH AMERICA,1557-9867,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1515,2.264,Q3,0.66,4.48%
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,1488-2361,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1122,2.248,Q3,0.56,3.57%
SKELETAL RADIOLOGY,1432-2161,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",7214,2.199,Q3,0.63,8.19%
JOURNAL OF ULTRASOUND IN MEDICINE,1550-9613,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",9425,2.153,Q3,0.63,3.27%
Journal of Applied Clinical Medical Physics,1526-9914,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3903,2.102,Q3,0.61,100.00%
ACTA RADIOLOGICA,1600-0455,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",5480,1.99,Q3,0.57,3.39%
BMC MEDICAL IMAGING,1471-2342,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1603,1.93,Q3,0.6,100.00%
RADIATION AND ENVIRONMENTAL BIOPHYSICS,1432-2099,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1820,1.925,Q3,0.45,27.04%
Journal of the Belgian Society of Radiology,2514-8281,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",234,1.894,Q4,0.14,100.00%
SEMINARS IN ULTRASOUND CT AND MRI,1558-5034,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1258,1.875,Q4,0.43,0.69%
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY,1532-3145,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",5739,1.826,Q4,0.44,3.15%
SEMINARS IN MUSCULOSKELETAL RADIOLOGY,1098-898X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1054,1.777,Q4,0.4,0.00%
Journal of Innovative Optical Health Sciences,1793-7205,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",720,1.77,Q4,0.5,100.00%
Journal of Medical Imaging and Radiation Oncology,1754-9485,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1625,1.735,Q4,0.43,2.48%
NUCLEAR MEDICINE COMMUNICATIONS,1473-5628,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3469,1.69,Q4,0.48,4.10%
Ultrasound Quarterly,1536-0253,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",774,1.657,Q4,0.33,1.95%
Journal of Contemporary Brachytherapy,2081-2841,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",855,1.656,Q4,0.41,100.00%
Medical Ultrasonography,2066-8643,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1089,1.611,Q4,0.49,0.00%
INTERVENTIONAL NEURORADIOLOGY,2385-2011,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1851,1.61,Q4,0.44,1.52%
CLINICAL IMAGING,1873-4499,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",3133,1.605,Q4,0.45,1.30%
ULTRASONIC IMAGING,1096-0910,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1055,1.578,Q4,0.52,0.00%
SEMINARS IN INTERVENTIONAL RADIOLOGY,1098-8963,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1588,1.513,Q4,0.33,0.00%
APPLIED RADIATION AND ISOTOPES,0969-8043,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",10419,1.513,Q4,0.61,4.64%
Medical Dosimetry,1873-4022,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",949,1.482,Q4,0.37,1.16%
JOURNAL OF RADIOLOGICAL PROTECTION,1361-6498,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",1438,1.394,Q4,0.54,12.76%
NUKLEARMEDIZIN-NUCLEAR MEDICINE,2567-6407,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",634,1.379,Q4,0.37,0.00%
Revista Espanola de Medicina Nuclear e Imagen Molecular,2253-654X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",544,1.359,Q4,0.31,0.00%
HEALTH PHYSICS,1538-5159,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",5109,1.316,Q4,0.48,4.31%
Journal of Medical Ultrasonics,1613-2254,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",788,1.314,Q4,0.38,4.04%
SURGICAL AND RADIOLOGIC ANATOMY,1279-8517,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",4351,1.246,Q4,0.48,9.85%
Hellenic Journal of Nuclear Medicine,1790-5427,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",574,1.102,Q4,0.27,0.00%
Cancer Radiotherapie,1769-6658,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",964,1.018,Q4,0.25,0.29%
RADIOPROTECTION,1769-700X,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",649,1.015,Q4,0.39,39.84%
RADIATION PROTECTION DOSIMETRY,1742-3406,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",6949,0.972,Q4,0.35,2.19%
JOURNAL OF CLINICAL ULTRASOUND,1097-0096,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",2488,0.91,Q4,0.28,2.44%
Current Medical Imaging,1875-6603,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",665,0.858,Q4,0.2,0.00%
SEMINARS IN ROENTGENOLOGY,1558-4658,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",403,0.8,Q4,0.19,0.00%
International Journal of Radiation Research,2322-3243,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",402,0.779,Q4,0.2,0.00%
RADIOLOGE,1432-2102,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",647,0.635,Q4,0.18,14.20%
CONCEPTS IN MAGNETIC RESONANCE PART A,1552-5023,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",613,0.481,Q4,0.13,50.00%
Iranian Journal of Radiology,2008-2711,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",428,0.212,Q4,0.05,96.20%
Physical and Engineering Sciences in Medicine,2662-4737,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",184,n/a,Q4,n/a,1.79%
Journal of Physiotherapy,1836-9561,REHABILITATION - SCIE,2186,7,Q1,1.99,100.00%
Annals of Physical and Rehabilitation Medicine,1877-0665,REHABILITATION - SCIE,2162,4.919,Q1,1.33,3.16%
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,1938-1344,REHABILITATION - SCIE,9650,4.751,Q1,1.51,0.81%
Journal of NeuroEngineering and Rehabilitation,1743-0003,REHABILITATION - SCIE,7017,4.262,Q1,1.24,100.00%
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,1532-821X,REHABILITATION - SCIE,30690,3.966,Q1,1.43,3.16%
NEUROREHABILITATION AND NEURAL REPAIR,1552-6844,REHABILITATION - SCIE,6710,3.919,Q1,1.53,7.36%
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,1558-0210,REHABILITATION - SCIE,9404,3.802,Q1,1.53,0.12%
Journal of Neurologic Physical Therapy,1557-0584,REHABILITATION - SCIE,1491,3.649,Q1,1.31,4.94%
SUPPORTIVE CARE IN CANCER,1433-7339,REHABILITATION - SCIE,18289,3.603,Q1,1.12,14.60%
CLINICAL REHABILITATION,1477-0873,REHABILITATION - SCIE,8691,3.477,Q1,1.39,14.84%
Journal of Geriatric Physical Therapy,2152-0895,REHABILITATION - SCIE,1487,3.381,Q1,1.29,2.17%
Brazilian Journal of Physical Therapy,1809-9246,REHABILITATION - SCIE,2292,3.377,Q1,1.07,0.00%
Physiotherapy,1873-1465,REHABILITATION - SCIE,3356,3.358,Q1,1.16,9.57%
Pediatric Physical Therapy,1538-005X,REHABILITATION - SCIE,1614,3.049,Q1,0.62,0.00%
DISABILITY AND REHABILITATION,1464-5165,REHABILITATION - SCIE,14882,3.033,Q1,1.38,12.09%
Physical Therapy & Rehabilitation Journal,1538-6724,REHABILITATION - SCIE,15751,3.021,Q1,1.23,10.41%
INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1460-6984,REHABILITATION - SCIE,3291,3.02,Q1,1.32,12.55%
ADAPTED PHYSICAL ACTIVITY QUARTERLY,1543-2777,REHABILITATION - SCIE,1651,2.929,Q2,0.98,0.00%
JOURNAL OF REHABILITATION MEDICINE,1651-2081,REHABILITATION - SCIE,6773,2.912,Q2,0.98,100.00%
European Journal of Physical and Rehabilitation Medicine,1973-9095,REHABILITATION - SCIE,2917,2.874,Q2,1.22,0.00%
APHASIOLOGY,1464-5041,REHABILITATION - SCIE,4157,2.773,Q2,1.03,5.00%
SPINAL CORD,1476-5624,REHABILITATION - SCIE,7541,2.772,Q2,0.88,8.42%
JOURNAL OF HEAD TRAUMA REHABILITATION,1550-509X,REHABILITATION - SCIE,5426,2.71,Q2,1.14,0.75%
Scandinavian Journal of Occupational Therapy,1651-2014,REHABILITATION - SCIE,1671,2.611,Q2,1.05,22.91%
Disability and Health Journal,1876-7583,REHABILITATION - SCIE,2139,2.554,Q2,0.99,4.35%
JOURNAL OF FLUENCY DISORDERS,1873-801X,REHABILITATION - SCIE,1497,2.538,Q2,1.34,4.17%
Musculoskeletal Science and Practice,2468-7812,REHABILITATION - SCIE,953,2.52,Q2,1.1,5.20%
EUROPEAN JOURNAL OF CANCER CARE,1365-2354,REHABILITATION - SCIE,4547,2.52,Q2,1,10.20%
International Journal of Speech-Language Pathology,1754-9515,REHABILITATION - SCIE,1853,2.484,Q2,1.3,6.99%
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1558-9110,REHABILITATION - SCIE,3908,2.408,Q2,1.18,4.28%
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1873-5711,REHABILITATION - SCIE,6544,2.368,Q2,0.75,5.88%
PHYSICAL THERAPY IN SPORT,1466-853X,REHABILITATION - SCIE,2382,2.365,Q2,0.94,1.21%
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,1541-3144,REHABILITATION - SCIE,1384,2.36,Q2,0.99,8.81%
BRAIN INJURY,1362-301X,REHABILITATION - SCIE,8333,2.311,Q2,0.72,2.58%
Developmental Neurorehabilitation,1751-8431,REHABILITATION - SCIE,1541,2.308,Q3,0.84,4.37%
PM&R,1934-1563,REHABILITATION - SCIE,4703,2.298,Q3,0.73,3.13%
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1558-9102,REHABILITATION - SCIE,11095,2.297,Q3,1.27,8.71%
JOURNAL OF COMMUNICATION DISORDERS,1873-7994,REHABILITATION - SCIE,2694,2.288,Q3,1.01,6.79%
PHYSIOTHERAPY THEORY AND PRACTICE,1532-5040,REHABILITATION - SCIE,2401,2.279,Q3,0.99,5.26%
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,1537-7385,REHABILITATION - SCIE,7281,2.159,Q3,0.8,1.52%
International Journal of Osteopathic Medicine,1878-0164,REHABILITATION - SCIE,515,2.149,Q3,0.62,1.35%
NEUROREHABILITATION,1878-6448,REHABILITATION - SCIE,3753,2.138,Q3,0.67,0.00%
Topics in Stroke Rehabilitation,1945-5119,REHABILITATION - SCIE,2543,2.119,Q3,1.01,1.79%
Chiropractic & Manual Therapies,2045-709X,REHABILITATION - SCIE,742,2.073,Q3,0.71,100.00%
Journal of Hand Therapy,1545-004X,REHABILITATION - SCIE,2077,1.95,Q3,0.66,2.11%
BMC Sports Science Medicine and Rehabilitation,2052-1847,REHABILITATION - SCIE,944,1.934,Q3,0.69,100.00%
JOURNAL OF SPORT REHABILITATION,1543-3072,REHABILITATION - SCIE,2377,1.931,Q3,0.84,0.24%
PROSTHETICS AND ORTHOTICS INTERNATIONAL,1746-1553,REHABILITATION - SCIE,2337,1.895,Q3,0.72,8.37%
Geriatric Orthopaedic Surgery & Rehabilitation,2151-4593,REHABILITATION - SCIE,817,1.87,Q3,0.57,100.00%
Australian Occupational Therapy Journal,1440-1630,REHABILITATION - SCIE,1939,1.856,Q3,0.67,1.02%
Physical Medicine and Rehabilitation Clinics of North America,1558-1381,REHABILITATION - SCIE,2189,1.784,Q3,1.03,1.38%
SEMINARS IN SPEECH AND LANGUAGE,1098-9056,REHABILITATION - SCIE,997,1.761,Q4,0.62,0.00%
Brain Impairment,1839-5252,REHABILITATION - SCIE,513,1.727,Q4,0.51,1.54%
Rehabilitation Nursing,2048-7940,REHABILITATION - SCIE,1073,1.625,Q4,0.67,0.88%
Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie,1911-9828,REHABILITATION - SCIE,1575,1.614,Q4,0.67,0.91%
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,1473-5660,REHABILITATION - SCIE,1944,1.479,Q4,0.63,4.60%
Kinesiology,1848-638X,REHABILITATION - SCIE,761,1.452,Q4,0.55,100.00%
Occupational Therapy International,1557-0703,REHABILITATION - SCIE,666,1.448,Q4,0.46,100.00%
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,0161-4754,REHABILITATION - SCIE,3239,1.437,Q4,0.51,1.55%
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,1878-6324,REHABILITATION - SCIE,1737,1.398,Q4,0.5,0.00%
CLINICAL LINGUISTICS & PHONETICS,1464-5076,REHABILITATION - SCIE,1876,1.346,Q4,0.86,5.74%
British Journal of Occupational Therapy,1477-6006,REHABILITATION - SCIE,1922,1.243,Q4,0.53,4.96%
REHABILITATION,1439-1309,REHABILITATION - SCIE,612,1.113,Q4,0.45,0.00%
Turkish Journal of Physical Medicine and Rehabilitation,2587-0823,REHABILITATION - SCIE,358,1.078,Q4,0.32,50.63%
Physiotherapy Canada,1708-8313,REHABILITATION - SCIE,1173,1.037,Q4,0.48,0.00%
Hong Kong Journal of Occupational Therapy,1876-4398,REHABILITATION - SCIE,167,0.917,Q4,0.32,100.00%
PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN,1439-085X,REHABILITATION - SCIE,197,0.903,Q4,0.24,0.85%
FOLIA PHONIATRICA ET LOGOPAEDICA,1421-9972,REHABILITATION - SCIE,1336,0.849,Q4,0.4,4.50%
HUMAN REPRODUCTION UPDATE,1460-2369,REPRODUCTIVE BIOLOGY - SCIE,12334,15.61,Q1,3.47,18.85%
FERTILITY AND STERILITY,1556-5653,REPRODUCTIVE BIOLOGY - SCIE,45818,7.329,Q1,2.1,5.85%
HUMAN REPRODUCTION,1460-2350,REPRODUCTIVE BIOLOGY - SCIE,38871,6.918,Q1,2.33,16.71%
Reproductive Biology and Endocrinology,1477-7827,REPRODUCTIVE BIOLOGY - SCIE,6752,5.211,Q1,1,100.00%
BIOLOGY OF REPRODUCTION,1529-7268,REPRODUCTIVE BIOLOGY - SCIE,26010,4.285,Q1,1.21,13.15%
Journal of Ovarian Research,1757-2215,REPRODUCTIVE BIOLOGY - SCIE,2826,4.234,Q1,1.17,100.00%
JOURNAL OF REPRODUCTIVE IMMUNOLOGY,1872-7603,REPRODUCTIVE BIOLOGY - SCIE,4150,4.054,Q1,1.08,10.15%
MOLECULAR HUMAN REPRODUCTION,1460-2407,REPRODUCTIVE BIOLOGY - SCIE,6585,4.025,Q2,1.25,9.90%
REPRODUCTION,1470-1626,REPRODUCTIVE BIOLOGY - SCIE,11462,3.906,Q2,0.92,7.73%
